"A0002500","H0001700","H0002500","H0013700","H0014800","R0000100","R0000600","R0006500","R0006700","R0007900","R0008100","R0188000","R0214700","R0214800","R0217900","R0217910","R0223100","R0223500","R0402800","R0612100","R0828400","R1075700","R1451400","R1798600","R2160200","R2369100","R2500000","R2900000","R3100000","R3500000","R3700000","R4100300","R4500300","R5200300","R5800200","R6530300","R7090700","R7800600","T0001000","T1200800","T2260700","T3195700","T3966800","T3967300","T3977400","T3987600","T4112300","T4112500","T4113000"
445,-4,-4,-4,-4,13,20,12,-4,16,-4,1,3,1,20000,0,-4,-4,3,-4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,19,19,11,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,-4,-4,-4,-4,14,15,12,-4,12,-4,-4,3,2,-2,-3,-4,-4,-4,-4,-4,3,3,3,19,11,11,19,19,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,102000,-4,103000,0,19
445,1,-4,-4,-4,15,15,12,-4,12,-4,-4,3,1,22000,0,-4,-4,-4,-4,-4,3,3,19,19,19,2,2,19,19,19,11,11,11,11,11,11,11,11,11,11,11,-4,-4,0,272295,497763,0,16
445,-4,-4,1,-4,16,20,12,-4,12,-4,-4,3,2,48000,0,1,1,11,-4,-4,17,-4,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,70000,-4,90000,0,13
445,5,-4,-4,1,17,22,12,-4,15,0,-4,3,1,15000,0,-4,0,-4,-4,-4,-4,-4,19,11,19,19,11,19,19,11,11,11,11,19,11,19,11,11,11,11,11,-4,-4,60000,-4,60000,0,13
445,1,-4,-4,4,18,21,12,1,16,0,11,3,1,4510,0,1,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,150000,-4,150000,0,13
445,-4,-4,-4,-4,19,21,10,1,12,1,11,3,2,9000,0,-4,-4,-4,-4,-4,-5,17,19,19,19,11,11,11,11,11,11,11,-5,11,-5,-5,-5,11,-5,11,-5,-5,-5,-5,-5,-5,-5,-5
445,-4,-4,-4,-4,20,19,12,-4,18,-4,-4,3,2,50000,0,-4,-4,3,3,-4,17,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-5,11,-4,-4,115000,75000,190500,0,17
445,-4,-4,-4,-4,21,17,12,-4,18,-4,-4,3,2,40000,0,-4,-4,3,3,3,17,17,19,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,343830,110000,497763,0,16
445,1,-4,-4,-4,22,16,12,-4,12,-4,-4,3,2,18000,0,-4,-4,-4,-4,-4,-4,-4,19,19,11,6,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,40000,-4,40250,0,16
445,-4,-4,-4,-4,23,20,12,-4,12,-4,-4,3,1,44000,0,-4,-4,3,3,3,3,-5,-5,-5,-5,-5,-5,-5,11,19,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,-4,-4,-4,-4,24,18,12,-4,12,-4,-4,3,1,44000,0,-4,-4,-4,-4,-4,-4,-5,19,11,11,11,11,11,-5,11,11,11,19,11,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,-4,-4,6,-4,25,19,14,-4,16,-4,1,3,2,-2,-3,1,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,35000,150000,185000,0,14
445,-4,-4,-4,-4,26,16,16,-4,17,-4,-4,3,1,30000,0,-4,-4,-4,3,3,-4,2,2,11,11,11,11,13,13,12,11,-5,-5,-5,-5,-5,-5,-5,-5,11,11,-4,-4,105000,0,105000,0,16
